id,auditId,auditDate,auditSchoolType,auditAuditorName,auditWeatherConditions,auditHasRamps,auditHasDoors,auditHasToilets,auditHasFurniture,schoolId,schoolSn,schoolLgea,schoolName,schoolAddress,rampCompositeScore,rampComplianceLevel,doorCompositeScore,doorComplianceLevel,toiletCompositeScore,toiletComplianceLevel,furnitureCompositeScore,furnitureComplianceLevel,overallScore,overallCompliance,keyBarriers
cmrajpe1s001tla04apdkc9bz,cmrajp1wi000zla04uwtutocv,2026-07-07,Mainstream Elementary,Field Researcher,Hot/Humid,No,Yes,Yes,Yes,cmr3lrv49000xsr3obc6h1qa4,34,OJO,"F. O. A. NUR & PRY SCHOOL I, OKOKOMAIKO","PAKO BUS STOP, OKOKOMAIKO",0.0,NC,83.67,FC,24.0,NC,39.33,NC,36.75,NC,
cmrak01sb000dlb04ihwfynx4,cmrak00170003lb04xb3vfz7m,2026-07-07,Special Needs School/Unit,Field Researcher,Partly Cloudy,Yes,Yes,Yes,Yes,cmr3lrv3v000nsr3o28j55nkd,24,LAGOS ISLAND,EREKO METHODIST PRIMARY SCHOOL,EREKO METHODIST PRIMARY SCHOOL,80.0,FC,46.0,NC,72.0,PC,32.0,NC,57.5,PC,No barriers found 
cmralzxaz000hl704ysn6aahs,cmralzunt0003l704exu3jk38,2026-07-07,Mainstream Elementary,Field Researcher,Cool/Breezy,No,Yes,Yes,Yes,cmr3lrv4b000zsr3olgtwnaci,36,OJO,"AGANJU AKA NUR & PRY SCHOOL II, OKOKOMAIKO","AKOBERU STR., ABULE-AKA VILLAGE",0.0,NC,53.0,PC,24.0,NC,18.0,NC,23.75,NC,"All students in the inclusive unit are based on the ground level of the building, with only 3 classrooms. "
cmrao39a9000bla04dgphsu7s,cmrao2txs0003la04x8o7kjmm,2026-07-07,Mainstream Elementary,Field Researcher,Partly Cloudy,No,Yes,Yes,Yes,cmr3lrv3u000msr3ojdm55r8v,23,LAGOS ISLAND,HOLY CROSS CATHOLIC PRIMARY SCHOOL,HOLY CROSS CATHOLIC PRIMARY SCHOOL,0.0,NC,46.0,NC,31.0,NC,32.0,NC,27.25,NC,No barriers found 
cmrb0weom000dle04lcfdx00a,cmrb0wc1r0001le04pku477b9,2026-07-07,Mainstream Elementary,Field Researcher,Hot/Humid,No,Yes,Yes,Yes,cmr3lrv1o0000sr3o1poioydg,1,AGEGE,AMOSUN PRY SCHOOL,DAIRYFARM PRY SCH COMPLEX,0.0,NC,73.0,PC,53.0,PC,72.0,PC,49.5,NC,
cmrb1fw9l000djr049iwx01ib,cmrb1ftus0001jr04o77902m3,2026-07-07,Mainstream Elementary,Field Researcher,Hot/Humid,No,Yes,Yes,Yes,cmr3lrv1q0001sr3ornj1u0uh,2,AGEGE,IBUKUN OLU PRIMARY SCHOOL,"DOPEMU ROAD, PAPA ASHAFA AGEGE",0.0,NC,70.67,PC,59.0,PC,72.0,PC,50.42,PC,
cmrb28byr000bjs043wubhxgq,cmrb28ayl0001js046blxgnr9,2026-07-06,Mainstream Elementary,Field Researcher,Hot/Humid,No,Yes,Yes,Yes,cmr3lrv1s0002sr3om02smy3r,3,AGEGE,DAIRY FARM PRIMARY SCHOOL,DAIRYFARM PRY SCH COMPLEX,0.0,NC,73.0,PC,66.0,PC,86.0,FC,56.25,PC,
cmrb583980007ld04oeoz3xd8,cmrb581zo0001ld04o3mrw50i,2026-07-07,Mainstream Elementary,Field Researcher,Light Rain,No,Yes,No,Yes,cmr3lrv1x0005sr3osjahvu3c,6,ALIMOSHO,"COMMUNITY PRY. SCH., ABULE-EGBA","ADENIJI IDOWU STR, OFF EKORO RD. ABULE EGBA",0.0,NC,80.0,FC,0.0,NC,44.0,NC,31.0,NC,
cmrb66gm10009l104kpksfzxf,cmrb66dtx0001l1041gwo06xt,2026-07-07,Mainstream Elementary,Field Researcher,Light Rain,No,Yes,Yes,Yes,cmr3lrv1u0003sr3o0q26ynnr,4,ALIMOSHO,"ABATI PRY SCHOOL, ABATI","1, ABATI CLS. OFF SASA RD, ABATI B/S, AKOWONJO",0.0,NC,73.0,PC,59.0,PC,59.0,PC,47.75,NC,
cmrbtyluk0017l504lr5o2ae7,cmrbtyh3x000rl5041x21sq0l,2026-07-08,Mainstream Elementary,Field Researcher,Light Rain,Yes,Yes,Yes,Yes,cmr3lrv4h0014sr3ohumpnbfj,41,SURULERE,Nathan Pry School,"24, NATHAN STREET, OJUELEGBA",32.0,NC,46.0,NC,24.0,NC,46.0,NC,37.0,NC,During rainfall the school's building surroundings/grounds gets flooded. 
